73012100000;73012109999;АСВТ(Москва);ASVT(Moskva);
73012110000;73012129999;Ростелеком;Rostelekom;
73012150000;73012169999;Ростелеком;Rostelekom;
73012180000;73012189999;Ростелеком;Rostelekom;
73012191000;73012199999;Ростелеком;Rostelekom;
73012200000;73012201999;Байкал-ТрансТелеКом;Baikal-TransTeleKom;
73012202000;73012202499;МОБИЛОН;MOBILON;
73012204000;73012204499;ПРЕСТИЖ-ИНТЕРНЕТ;PRESTIZh-INTERNET;
73012204500;73012205499;Фрегат;Fregat;
73012205500;73012206499;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012206500;73012209499;Межрегиональный ТранзитТелеком;Mezhregionalnyi TranzitTelekom;
73012209500;73012209513;МегаФон;MegaFon;
73012210000;73012233999;Ростелеком;Rostelekom;
73012235000;73012235999;Ростелеком;Rostelekom;
73012237000;73012239999;Ростелеком;Rostelekom;
73012240000;73012249999;Байкалвестком;Baikalvestkom;
73012250000;73012281999;Ростелеком;Rostelekom;
73012282000;73012284999;Российские железные дороги;Rossiiskie zheleznye dorogi;
73012285000;73012285499;Ростелеком;Rostelekom;
73012286000;73012287999;Ростелеком;Rostelekom;
73012288100;73012288199;Ростелеком;Rostelekom;
73012288200;73012288399;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012288500;73012288799;Ростелеком;Rostelekom;
73012288800;73012288899;Гамма Телеком;Gamma Telekom;
73012289000;73012289099;Ростелеком;Rostelekom;
73012289400;73012289599;Ростелеком;Rostelekom;
73012290000;73012292999;Ростелеком;Rostelekom;
73012293000;73012294999;Московский узел связи энергетики;Moskovskii uzel svyazi energetiki;
73012295000;73012295999;Ростелеком;Rostelekom;
73012296000;73012296999;Мобилтелеком;Mobiltelekom;
73012297000;73012297999;Мобилтелеком;Mobiltelekom;
73012298000;73012298999;Мобилтелеком;Mobiltelekom;
73012299000;73012299199;Ростелеком;Rostelekom;
73012299300;73012299399;Ростелеком;Rostelekom;
73012299500;73012299599;Ростелеком;Rostelekom;
73012299900;73012299999;Гамма Телеком;Gamma Telekom;
73012300000;73012329999;Мобильные ТелеСистемы;Mobilnye TeleSistemy;
73012330000;73012349999;Ростелеком;Rostelekom;
73012350000;73012369999;Мобильные ТелеСистемы;Mobilnye TeleSistemy;
73012370000;73012379999;Ростелеком;Rostelekom;
73012380000;73012389999;Мобильные ТелеСистемы;Mobilnye TeleSistemy;
73012390000;73012398299;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012399990;73012399999;Ростелеком;Rostelekom;
73012400000;73012409999;Байкалвестком;Baikalvestkom;
73012410000;73012437999;Ростелеком;Rostelekom;
73012439000;73012469999;Ростелеком;Rostelekom;
73012480000;73012480099;Ростелеком;Rostelekom;
73012480100;73012480799;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012480800;73012480999;ПРЕСТИЖ-ИНТЕРНЕТ;PRESTIZh-INTERNET;
73012481000;73012485999;Ростелеком;Rostelekom;
73012486000;73012487999;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012488800;73012488899;Гамма Телеком;Gamma Telekom;
73012489000;73012489999;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012490000;73012490999;ПРОКОМ;PROKOM;
73012491000;73012494999;Ростелеком;Rostelekom;
73012497000;73012499999;Ростелеком;Rostelekom;
73012500000;73012514999;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012515000;73012519999;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012550000;73012559999;Ростелеком;Rostelekom;
73012560000;73012589999;МегаФон;MegaFon;
73012590000;73012596999;Вымпел-Коммуникации;Vympel-Kommunikatsii;
73012600000;73012699999;Байкалвестком;Baikalvestkom;
73012700000;73012799999;Байкалвестком;Baikalvestkom;
73013020000;73013027999;Ростелеком;Rostelekom;
73013029000;73013029000;МегаФон;MegaFon;
73013036000;73013037566;Байкал Диалог;Baikal Dialog;
73013042300;73013042399;Ростелеком;Rostelekom;
